id,start__station,end__station,start__time,end__time
80763967751852032,TDC,TCN,2025-08-11T13:22:48.539Z,2025-08-11T13:46:49.905Z
80272087289171968,TDC,ANP,2025-08-10T04:53:31.089Z,2025-08-10T05:12:13.911Z
78792009468350464,NUS,ANP,2025-08-06T02:48:17.034Z,2025-08-06T03:10:52.119Z
78748466062299136,HTP,BTN,2025-08-05T23:50:26.752Z,2025-08-06T00:17:57.844Z
81869256370688000,OPH,TDC,2025-08-14T14:03:48.390Z,2025-08-14T14:58:50.070Z
82212155725713408,BSN,RCC,2025-08-15T13:22:32.686Z,2025-08-15T13:41:16.415Z
82189447847743488,TCN,BSN,2025-08-15T12:02:40.264Z,2025-08-15T12:10:55.818Z
79276515954528256,BTN,OPH,2025-08-07T10:52:51.874Z,2025-08-07T11:15:48.703Z
77292439848620032,TDC,OPH,2025-08-01T23:21:57.873Z,2025-08-01T23:52:05.609Z
82185106055237632,OPH,ANP,2025-08-15T11:33:29.316Z,2025-08-15T11:53:51.854Z
78184426252537856,BSN,PCL,2025-08-04T10:38:27.276Z,2025-08-04T10:56:30.565Z
79299352006234112,OPH,PCL,2025-08-07T12:20:50.632Z,2025-08-07T12:46:58.087Z
81341043651383296,BTN,TDC,2025-08-13T03:27:58.166Z,2025-08-13T03:59:48.804Z
79134392873652224,BTI,ANP,2025-08-07T01:39:02.549Z,2025-08-07T01:51:19.323Z
76929987717894144,TDN,BTN,2025-07-31T23:34:15.912Z,2025-07-31T23:51:54.955Z
77821095016665088,NUS,BTN,2025-08-03T10:08:07.932Z,2025-08-03T10:52:52.693Z
78385247019864064,BTN,BSN,2025-08-05T00:03:06.797Z,2025-08-05T00:14:37.521Z
82178120395788288,TDN,BTN,2025-08-15T11:07:51.742Z,2025-08-15T11:25:34.818Z
77457610671919104,BTN,TDC,2025-08-02T10:17:46.846Z,2025-08-02T10:48:24.262Z
78160515183939584,BTN,NUS,2025-08-04T08:51:01.682Z,2025-08-04T09:21:30.263Z
80634863975141376,HTP,BTN,2025-08-11T04:44:55.780Z,2025-08-11T05:13:35.782Z
79189248967708672,BTN,HTP,2025-08-07T05:02:54.939Z,2025-08-07T05:29:17.324Z
80242148938616832,BTI,OPH,2025-08-10T02:52:48.072Z,2025-08-10T03:13:07.896Z
76996497022914560,PCL,OPH,2025-08-01T03:56:04.728Z,2025-08-01T04:16:07.487Z
81818243769044992,OPH,BTI,2025-08-14T11:06:30.286Z,2025-08-14T11:36:04.397Z
78028399351697408,TDC,TCN,2025-08-04T00:19:56.464Z,2025-08-04T00:36:36.281Z
81662906650857472,STT,NUS,2025-08-14T01:10:10.672Z,2025-08-14T01:18:42.911Z
79334771943018496,OPH,BTI,2025-08-07T14:39:07.142Z,2025-08-07T15:07:39.030Z
